0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
New Mexico/a,First-degree murder with at least one of seven aggravating factors (N.M.S.A. 1978 § 31-20A-5).,,,,,,,,,,,,,,,,,,,
New York/b,First-degree murder with 1 of 13 aggravating factors (NY Penal Law §125.27).,,,,,,,,,,,,,,,,,,,
North Carolina,First-degree murder (N.C.G.S. §14-17) with the finding of at least 1 of 11 statutory aggravating circumstances (N.C.G.S. § 15A-2000).,,,,,,,,,,,,,,,,,,,
Ohio,"Aggravated murder with at least 1 of 10 aggravating circumstances (O.R.C. 2903.01, 2929.02, and 2929.04).",,,,,,,,,,,,,,,,,,,
Oklahoma,First-degree murder in conjunction with a finding of at least one of eight statutorily defined aggravating circumstances.,,,,,,,,,,,,,,,,,,,
Oregon,Aggravated murder (O.R.S. 163.095).,,,,,,,,,,,,,,,,,,,
Pennsylvania,First-degree murder with 18 aggravating circumstances.,,,,,,,,,,,,,,,,,,,
South Carolina,Murder with at least 1 of 12 aggravating circumstances (§ 16-3-20(C)(a)).,,,,,,,,,,,,,,,,,,,
South Dakota,First-degree murder with 1 of 10 aggravating circumstances (S.D.C.L. 23A-27A-1).,,,,,,,,,,,,,,,,,,,
Tennessee,First-degree murder (Tenn. Code Ann. § 39-13-202) with 1 of 15 aggravating circumstances (Tenn. Code Ann. § 39-13-204).,,,,,,,,,,,,,,,,,,,
Texas,Criminal homicide with one of nine aggravating circumstances (Tex. Penal Code § 19.03).,,,,,,,,,,,,,,,,,,,
Utah,Aggravated murder (Utah Code Ann. § 76-5-202).,,,,,,,,,,,,,,,,,,,
Virginia,Pre-meditated murder with 1 of 15 aggravating circumstances (VA Code § 18.2-31(1-15)).,,,,,,,,,,,,,,,,,,,
Washington,Aggravated first-degree murder.,,,,,,,,,,,,,,,,,,,
Wyoming,"First-degree murder; murder during the commission of sexual assault, sexual abuse of a minor, arson, robbery, burglary, escape, resisting arrest, kidnapping, or abuse of a minor under 16 (W.S.A. § 6-2-101(a)).",,,,,,,,,,,,,,,,,,,
"a/New Mexico enacted a prospective appeal of its capital statute as of July 1, 2009. Offenders who committed capital offenses prior to that date are eligible for the death penalty.",,,,,,,,,,,,,,,,,,,,
"b/The New York Court of Appeals has held that a portion of New York’s death penalty sentencing statute (C.P.L. 400.27) was unconstitutional (People v. Taylor, 9 N.Y.3d 129 (2007)). No legislative action has been taken to amend the statute. As a result, capital cases are no longer pursued in New York.",,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat02.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 2. Federal capital offenses, 2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 2. Federal capital offenses, 2016",,,,,,,,,,,,,,,,,,,,
Statute,Description,,,,,,,,,,,,,,,,,,,
8 U.S.C. 1342 ,Murder related to the smuggling of aliens.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 32-34,"Destruction of aircraft, motor vehicles, or related facilities resulting in death. ",,,,,,,,,,,,,,,,,,,
18 U.S.C. 36,Murder committed during a drug-related drive-by shooting. ,,,,,,,,,,,,,,,,,,,
18 U.S.C. 37,Murder committed at an airport serving international civil aviation.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 115(b)(3) [by cross-reference to 18 U.S.C. 1111],Retaliatory murder of a member of the immediate family of law enforcement officials.,,,,,,,,,,,,,,,,,,,
"18 U.S.C. 241, 242, 245, 247",Civil rights offenses resulting in death. ,,,,,,,,,,,,,,,,,,,
18 U.S.C. 351 [by cross-reference to 18 U.S.C. 1111],"Murder of a member of Congress, an important executive official, or a Supreme Court Justice.",,,,,,,,,,,,,,,,,,,
18 U.S.C. 794,Espionage.,,,,,,,,,,,,,,,,,,,
"18 U.S.C. 844(d), (f), (i)","Death resulting from offenses involving transportation of explosives, destruction of government property, or destruction of property related to foreign or interstate commerce. ",,,,,,,,,,,,,,,,,,,
18 U.S.C. 924(i),Murder committed by the use of a firearm during a crime of violence or a drug-trafficking crime.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 930,Murder committed in a federal government facility.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1091,Genocide.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1111,First-degree murder.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1114,Murder of a federal judge or law enforcement official.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1116,Murder of a foreign official.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1118,Murder by a federal prisoner.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1119,Murder of a U.S. national in a foreign country.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1120,Murder by an escaped federal prisoner already sentenced to life imprisonment.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1121,Murder of a state or local law enforcement official or other person aiding in a federal investigation; murder of a state correctional officer.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1201,Murder during a kidnapping.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1203,Murder during a hostage taking.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1503,Murder of a court officer or juror.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1512,"Murder with the intent of preventing testimony by a witness, victim, or informant.",,,,,,,,,,,,,,,,,,,
18 U.S.C. 1513,"Retaliatory murder of a witness, victim, or informant.",,,,,,,,,,,,,,,,,,,
18 U.S.C. 1716,Mailing of injurious articles with intent to kill or resulting in death.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1751 [by cross-reference to 18 U.S.C. 1111],Assassination or kidnapping resulting in the death of the President or Vice President.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1958,Murder for hire.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1959,Murder involved in a racketeering offense.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 1992,Willful wrecking of a train resulting in death.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2113,Bank robbery-related murder or kidnapping.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2119,Murder related to a carjacking.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2245,Murder related to rape or child molestation.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2251,Murder related to sexual exploitation of children.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2280,Murder committed during an offense against maritime navigation.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2281,Murder committed during an offense against a maritime fixed platform.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2332,Terrorist murder of a U.S. national in another country.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2332a,Murder by the use of a weapon of mass destruction.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2340,Murder involving torture.,,,,,,,,,,,,,,,,,,,
18 U.S.C. 2381,Treason.,,,,,,,,,,,,,,,,,,,
21 U.S.C. 848(e),"Murder related to a continuing criminal enterprise or related murder of a federal, state, or local law enforcement officer.",,,,,,,,,,,,,,,,,,,
49 U.S.C. 1472-1473,Death resulting from aircraft hijacking.,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat03.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Authorized methods of execution, by state, 2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Authorized methods of execution, by state, 2016",,,,,,,,,,,,,,,,,,,,
Jurisdiction,,Lethal injection,Electrocution,Lethal gas ,Hanging,Firing squad,Nitrogen hypoxia,,,,,,,,,,,,,
,Total,34,8,3,3,2,1,,,,,,,,,,,,,
Alabama,,X,X,,,,,,,,,,,,,,,,,
Arizona/a,,X,,X,,,,,,,,,,,,,,,,
Arkansas/b,,X,X,,,,,,,,,,,,,,,,,
California,,X,,,,,,,,,,,,,,,,,,
Colorado,,X,,,,,,,,,,,,,,,,,,
Delaware/c,,X,,,X,,,,,,,,,,,,,,,
Florida,,X,X,,,,,,,,,,,,,,,,,
Georgia,,X,,,,,,,,,,,,,,,,,,
Idaho,,X,,,,,,,,,,,,,,,,,,
Indiana,,X,,,,,,,,,,,,,,,,,,
Kansas,,X,,,,,,,,,,,,,,,,,,
Kentucky/d,,X,X,,,,,,,,,,,,,,,,,
Louisiana,,X,,,,,,,,,,,,,,,,,,
Mississippi,,X,,,,,,,,,,,,,,,,,,
Missouri,,X,,X,,,,,,,,,,,,,,,,
Montana,,X,,,,,,,,,,,,,,,,,,
Nebraska,,X,,,,,,,,,,,,,,,,,,
Nevada,,X,,,,,,,,,,,,,,,,,,
New Hampshire/e,,X,,,X,,,,,,,,,,,,,,,
New Mexico/f,,X,,,,,,,,,,,,,,,,,,
New York,,X,,,,,,,,,,,,,,,,,,
North Carolina,,X,,,,,,,,,,,,,,,,,,
Ohio,,X,,,,,,,,,,,,,,,,,,
Oklahoma/g,,X,X,,,X,X,,,,,,,,,,,,,
Oregon,,X,,,,,,,,,,,,,,,,,,
Pennsylvania,,X,,,,,,,,,,,,,,,,,,
South Carolina,,X,X,,,,,,,,,,,,,,,,,
South Dakota,,X,,,,,,,,,,,,,,,,,,
Tennessee/h,,X,X,,,,,,,,,,,,,,,,,
Texas,,X,,,,,,,,,,,,,,,,,,
Utah/i,,X,,,,X,,,,,,,,,,,,,,
Virginia,,X,X,,,,,,,,,,,,,,,,,
Washington,,X,,,X,,,,,,,,,,,,,,,
Wyoming/j,,X,,X,,,,,,,,,,,,,,,,
"Note: The method of execution of federal prisoners is lethal injection, pursuant to 28 C.F.R. Part 26. For offenses prosecuted under the Violent Crime Control and Law Enforcement Act of 1994, the execution method is that of the state in which the conviction took place (18 U.S.C. 3596).",,,,,,,,,,,,,,,,,,,,
"a/Authorizes lethal injection for persons sentenced after November 23,1992; inmates sentenced before that date may select lethal injection or gas.",,,,,,,,,,,,,,,,,,,,
"b/Authorizes lethal injection for those whose offense occurred on or after July 4, 1983; inmates whose offense occurred before that date may select lethal injection or electrocution. Electrocution is the authorized method of use if lethal injection is invalidated by an unappealable court order.",,,,,,,,,,,,,,,,,,,,
c/Authorizes hanging if lethal injection is held to be unconstitutional by a court of competent jurisdiction.,,,,,,,,,,,,,,,,,,,,
"d/Authorizes lethal injection for persons sentenced on or after March 31, 1998; inmates sentenced before that date may select lethal injection or electrocution.",,,,,,,,,,,,,,,,,,,,
e/Authorizes hanging only if lethal injection cannot be given.,,,,,,,,,,,,,,,,,,,,
"f/Authorizes lethal injection for those whose capital offense occurred prior to July 1, 2009.",,,,,,,,,,,,,,,,,,,,
"g/Authorizes nitrogen hypoxia if lethal injection is held to be unconstitutional, electrocution if both lethal injection and nitrogen hypoxia are held to be unconstitutional, and firing squad if all other methods are held to be unconstitutional.",,,,,,,,,,,,,,,,,,,,
"h/Authorizes lethal injection for those whose capital offense occurred after December 31, 1998; inmates whose offense occurred before that date may select electrocution by written waiver. Electrocution is the authorized method if a court or the commissioner of corrections determines that lethal injection cannot be given.",,,,,,,,,,,,,,,,,,,,
"i/Authorizes firing squad if lethal injection is held unconstitutional. Inmates who selected execution by firing squad prior to May 3, 2004, may still be entitled to execution by that method.",,,,,,,,,,,,,,,,,,,,
j/Authorizes lethal gas if lethal injection is held to be unconstitutional.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat04.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Numbers for figure 1: Number of prisoners under sentence of death, 1953–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Numbers for figure 1: Number of prisoners under sentence of death, 1953–2016",,,,,,,,,,,,,,,,,,,,
Year,Number,,Year,Number,,,,,,,,,,,,,,,,
1953,131,,1985,"1,575",,,,,,,,,,,,,,,,
1954,147,,1986,"1,800",,,,,,,,,,,,,,,,
1955,125,,1987,"1,967",,,,,,,,,,,,,,,,
1956,146,,1988,"2,117",,,,,,,,,,,,,,,,
1957,151,,1989,"2,243",,,,,,,,,,,,,,,,
1958,147,,1990,"2,346",,,,,,,,,,,,,,,,
1959,164,,1991,"2,465",,,,,,,,,,,,,,,,
1960,212,,1992,"2,580",,,,,,,,,,,,,,,,
1961,257,,1993,"2,727",,,,,,,,,,,,,,,,
1962,267,,1994,"2,905",,,,,,,,,,,,,,,,
1963,297,,1995,"3,064",,,,,,,,,,,,,,,,
1964,315,,1996,"3,242",,,,,,,,,,,,,,,,
1965,331,,1997,"3,328",,,,,,,,,,,,,,,,
1966,406,,1998,"3,465",,,,,,,,,,,,,,,,
1967,435,,1999,"3,527",,,,,,,,,,,,,,,,
1968,517,,2000,"3,601",,,,,,,,,,,,,,,,
1969,575,,2001,"3,577",,,,,,,,,,,,,,,,
1970,631,,2002,"3,562",,,,,,,,,,,,,,,,
1971,642,,2003,"3,377",,,,,,,,,,,,,,,,
1972,334,,2004,"3,320",,,,,,,,,,,,,,,,
1973,134,,2005,"3,245",,,,,,,,,,,,,,,,
1974,244,,2006,"3,228",,,,,,,,,,,,,,,,
1975,488,,2007,"3,215",,,,,,,,,,,,,,,,
1976,420,,2008,"3,210",,,,,,,,,,,,,,,,
1977,423,,2009,"3,173",,,,,,,,,,,,,,,,
1978,482,,2010,"3,139",,,,,,,,,,,,,,,,
1979,593,,2011,"3,065",,,,,,,,,,,,,,,,
1980,692,,2012,"3,011",,,,,,,,,,,,,,,,
1981,860,,2013,"2,983",,,,,,,,,,,,,,,,
1982,"1,066",,2014,"2,942",,,,,,,,,,,,,,,,
1983,"1,209",,2015,"2,872",,,,,,,,,,,,,,,,
1984,"1,420",,2016,"2,814",,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1953–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat05.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Numbers for figure 2: Admissions to and removals from sentence of death, 1973–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Numbers for figure 2: Admissions to and removals from sentence of death, 1973–2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Year,Admissions,Removals,,,,,,,,,,,,,,,,,,
1973,44,240,,,,,,,,,,,,,,,,,,
1974,161,55,,,,,,,,,,,,,,,,,,
1975,318,67,,,,,,,,,,,,,,,,,,
1976,249,317,,,,,,,,,,,,,,,,,,
1977,159,156,,,,,,,,,,,,,,,,,,
1978,211,150,,,,,,,,,,,,,,,,,,
1979,172,61,,,,,,,,,,,,,,,,,,
1980,202,101,,,,,,,,,,,,,,,,,,
1981,249,84,,,,,,,,,,,,,,,,,,
1982,287,79,,,,,,,,,,,,,,,,,,
1983,266,123,,,,,,,,,,,,,,,,,,
1984,305,90,,,,,,,,,,,,,,,,,,
1985,291,130,,,,,,,,,,,,,,,,,,
1986,320,109,,,,,,,,,,,,,,,,,,
1987,311,142,,,,,,,,,,,,,,,,,,
1988,317,165,,,,,,,,,,,,,,,,,,
1989,275,149,,,,,,,,,,,,,,,,,,
1990,270,152,,,,,,,,,,,,,,,,,,
1991,285,159,,,,,,,,,,,,,,,,,,
1992,300,173,,,,,,,,,,,,,,,,,,
1993,299,162,,,,,,,,,,,,,,,,,,
1994,330,153,,,,,,,,,,,,,,,,,,
1995,325,171,,,,,,,,,,,,,,,,,,
1996,323,155,,,,,,,,,,,,,,,,,,
1997,283,187,,,,,,,,,,,,,,,,,,
1998,311,174,,,,,,,,,,,,,,,,,,
1999,287,221,,,,,,,,,,,,,,,,,,
2000,235,173,,,,,,,,,,,,,,,,,,
2001,164,194,,,,,,,,,,,,,,,,,,
2002,172,191,,,,,,,,,,,,,,,,,,
2003,157,346,,,,,,,,,,,,,,,,,,
2004,139,198,,,,,,,,,,,,,,,,,,
2005,143,216,,,,,,,,,,,,,,,,,,
2006,125,145,,,,,,,,,,,,,,,,,,
2007,129,140,,,,,,,,,,,,,,,,,,
2008,122,136,,,,,,,,,,,,,,,,,,
2009,118,166,,,,,,,,,,,,,,,,,,
2010,116,143,,,,,,,,,,,,,,,,,,
2011,84,153,,,,,,,,,,,,,,,,,,
2012,85,128,,,,,,,,,,,,,,,,,,
2013,85,115,,,,,,,,,,,,,,,,,,
2014,68,111,,,,,,,,,,,,,,,,,,
2015,54,120,,,,,,,,,,,,,,,,,,
2016,32,90,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1973-2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat06.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Numbers for figure 3: Number of prisoners executed under civil authority in the United States, 1930–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Numbers for figure 3: Number of prisoners executed under civil authority in the United States, 1930–2016",,,,,,,,,,,,,,,,,,,,
Year,Executions,,Year,Executions,,,,,,,,,,,,,,,,
1930,155,,1974,0,,,,,,,,,,,,,,,,
1931,153,,1975,0,,,,,,,,,,,,,,,,
1932,140,,1976,0,,,,,,,,,,,,,,,,
1933,160,,1977,1,,,,,,,,,,,,,,,,
1934,168,,1978,0,,,,,,,,,,,,,,,,
1935,199,,1979,2,,,,,,,,,,,,,,,,
1936,195,,1980,0,,,,,,,,,,,,,,,,
1937,147,,1981,1,,,,,,,,,,,,,,,,
1938,190,,1982,2,,,,,,,,,,,,,,,,
1939,160,,1983,5,,,,,,,,,,,,,,,,
1940,124,,1984,21,,,,,,,,,,,,,,,,
1941,123,,1985,18,,,,,,,,,,,,,,,,
1942,147,,1986,18,,,,,,,,,,,,,,,,
1943,131,,1987,25,,,,,,,,,,,,,,,,
1944,120,,1988,11,,,,,,,,,,,,,,,,
1945,117,,1989,16,,,,,,,,,,,,,,,,
1946,131,,1990,23,,,,,,,,,,,,,,,,
1947,153,,1991,14,,,,,,,,,,,,,,,,
1948,119,,1992,31,,,,,,,,,,,,,,,,
1949,119,,1993,38,,,,,,,,,,,,,,,,
1950,82,,1994,31,,,,,,,,,,,,,,,,
1951,105,,1995,56,,,,,,,,,,,,,,,,
1952,83,,1996,45,,,,,,,,,,,,,,,,
1953,62,,1997,74,,,,,,,,,,,,,,,,
1954,81,,1998,68,,,,,,,,,,,,,,,,
1955,76,,1999,98,,,,,,,,,,,,,,,,
1956,65,,2000,85,,,,,,,,,,,,,,,,
1957,65,,2001,66,,,,,,,,,,,,,,,,
1958,49,,2002,71,,,,,,,,,,,,,,,,
1959,49,,2003,65,,,,,,,,,,,,,,,,
1960,56,,2004,59,,,,,,,,,,,,,,,,
1961,42,,2005,60,,,,,,,,,,,,,,,,
1962,47,,2006,53,,,,,,,,,,,,,,,,
1963,21,,2007,42,,,,,,,,,,,,,,,,
1964,15,,2008,37,,,,,,,,,,,,,,,,
1965,7,,2009,52,,,,,,,,,,,,,,,,
1966,1,,2010,46,,,,,,,,,,,,,,,,
1967,2,,2011,43,,,,,,,,,,,,,,,,
1968,0,,2012,43,,,,,,,,,,,,,,,,
1969,0,,2013,39,,,,,,,,,,,,,,,,
1970,0,,2014,35,,,,,,,,,,,,,,,,
1971,0,,2015,28,,,,,,,,,,,,,,,,
1972,0,,2016,20,,,,,,,,,,,,,,,,
1973,0,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1930–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat07.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 7. Numbers for figure 4: Number of prisoners under sentence of death, by race, 1968–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Appendix table 7. Numbers for figure 4: Number of prisoners under sentence of death, by race, 1968–2016",,,,,,,,,,,,,,,,,,,,
Year,White,Black,All other races,,,,,,,,,,,,,,,,,
1968,243,271,3,,,,,,,,,,,,,,,,,
1969,263,310,2,,,,,,,,,,,,,,,,,
1970,293,335,3,,,,,,,,,,,,,,,,,
1971,306,332,4,,,,,,,,,,,,,,,,,
1972,167,166,1,,,,,,,,,,,,,,,,,
1973,64,68,2,,,,,,,,,,,,,,,,,
1974,110,128,6,,,,,,,,,,,,,,,,,
1975,218,262,8,,,,,,,,,,,,,,,,,
1976,225,195,0,,,,,,,,,,,,,,,,,
1977,229,192,2,,,,,,,,,,,,,,,,,
1978,281,197,4,,,,,,,,,,,,,,,,,
